School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
RAINCROSS HIGH (CONTINUATION),California,CALIFORNIA,Raincross High (Continuation),0603613,Riverside County,06065,http://eoc.riversideunified.org/,6401 Lincoln Ave.,Riverside,92506,6401 Lincoln Ave.,9512767670,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.940500,-117.380100,CA-3367215-3330677,High,1-Yes,1-Yes,1-Yes,1-Yes,136,136,0,0,26,110,87,49,15.98,8.51
RAINEY MCCULLERS SCHOOL OF THE ARTS,GEORGIA,GEORGIA,Rainey McCullers School of the Arts,1304270,Muscogee County,13215,http://muscogee.k12.ga.us/Schools/RMA,1700 Midtown Dr,Columbus,31906,1700 Midtown Dr,7067483304,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.475259,-84.944115,GA-706-0502,High,1-Yes,1-Yes,1-Yes,1-Yes,420,236,69,70,61,36,123,297,33.00,12.73
RAINIER BEACH HIGH SCHOOL,Washington,WASHINGTON,Rainier Beach High School,5301236,King County,53033,†,8815 SEWARD PARK AV S,SEATTLE,98118,8815 SEWARD PARK AV S,2062526350,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,47.524500,-122.266300,WA-17001-3327,High,1-Yes,1-Yes,1-Yes,1-Yes,854,854,217,191,221,225,447,405,43.00,19.86
RAINIER JR/SR HIGH SCHOOL,Oregon,OREGON,Rainier Jr/Sr High School,4100184,Columbia County,41009,http://www.rainier.k12.or.us,28170 Old Rainier Rd,Rainier,97048,28170 Old Rainier Rd,5035564215,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.092100,-122.989800,OR-00000000001946-00000000000000000174,High,1-Yes,1-Yes,1-Yes,1-Yes,366,241,54,58,70,59,197,169,22.00,16.64
RAINIER SENIOR HIGH SCHOOL,Washington,WASHINGTON,Rainier Senior High School,5301058,Thurston County,53067,http://www.rainier.wednet.edu,308 2nd St W,Rainier,98576,PO Box 98,3604462205,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.885600,-122.689400,WA-34307-2468,High,1-Yes,1-Yes,1-Yes,1-Yes,283,283,75,82,61,65,144,139,15.60,18.14
RAINIER VALLEY LEADERSHIP ACADEMY,WASHINGTON,WASHINGTON,Rainier Valley Leadership Academy,5303602,King County,53033,http://myrvla.org,6020 Rainier Avenue S,Seattle,98118,6020 Rainier Avenue S,2066590956,1-Regular school,7-Independent Charter District,47.547640,-122.276311,WA-17910-5468,Other,1-Yes,1-Yes,1-Yes,1-Yes,121,41,9,7,14,11,73,48,13.99,8.65
RAINS H S,Texas,TEXAS,RAINS H S,4804081,Rains County,48379,http://www.rainsisd.org,1651 W US HWY 69,EMORY,75440,P O BOX 247,9034732222,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.889164,-95.787710,TX-190903-190903001,High,1-Yes,1-Yes,1-Yes,1-Yes,531,531,155,137,141,98,299,232,40.15,13.23
RAISBECK AVIATION HIGH SCHOOL,Washington,WASHINGTON,Raisbeck Aviation High School,5302974,King County,53033,†,9229 East Marginal Way S,Tukwila,98108,9229 East Marginal Way S,2066317200,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,47.520777,-122.300601,WA-17401-3553,High,1-Yes,1-Yes,1-Yes,1-Yes,400,400,105,105,95,95,278,116,19.80,20.20
RALEIGH CHARTER HIGH SCHOOL,North Carolina,NORTH CAROLINA,Raleigh Charter High School,3702494,Wake County,37183,http://www.raleighcharterhs.org,1307 Glenwood Avenue,Raleigh,27605,1307 Glenwood Avenue,9197151155,1-Regular school,7-Independent Charter District,35.796028,-78.646973,NC-92K-000,High,1-Yes,1-Yes,1-Yes,1-Yes,552,552,149,142,135,126,287,265,43.00,12.84
RALEIGH HIGH SCHOOL,Mississippi,MISSISSIPPI,Raleigh High School,2800759,Smith County,28129,http://smith.k12.ms.us/s1/,491 MAGNOLIA DRIVE,RALEIGH,39153,491 Magnolia Dr,6017824261,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.993111,-89.518913,MS-6500-6500008,High,1-Yes,1-Yes,1-Yes,1-Yes,486,301,84,79,72,66,231,255,38.53,12.61
RALEIGH-EGYPT HIGH,Tennessee,TENNESSEE,Raleigh-Egypt High,4701138,Shelby County,47157,http://schools.scsk12.org/raleighegypt-hs,3970 Voltaire Ave,Memphis,38128,3970 Voltaire Ave,9014164108,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.240400,-89.931300,TN-00792-2598,High,1-Yes,1-Yes,1-Yes,1-Yes,725,725,232,205,95,193,372,353,–,–
RALLS H S,Texas,TEXAS,RALLS H S,4804084,Crosby County,48107,†,1106 10TH ST,RALLS,79357,1082 4TH ST,8062532500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.680654,-101.380423,TX-054903-054903001,High,1-Yes,1-Yes,1-Yes,1-Yes,113,113,28,25,27,33,61,52,15.78,7.16
RALPH C MAHAR REGIONAL,Massachusetts,MASSACHUSETTS,Ralph C Mahar Regional,2501587,Franklin County,25011,http://www.rcmahar.org,507 South Main Street,Orange,01364,PO Box 680,9785442542,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.574559,-72.302801,MA-0755-07550505,High,1-Yes,1-Yes,1-Yes,1-Yes,509,316,82,94,76,64,271,230,56.31,9.04
RALPH C STARKEY (CJCF),Ohio,OHIO,Ralph C Starkey (Cjcf),3904676,Pickaway County,39129,†,640 Island Rd,Circleville,43113,640 Island Rd,7405718282,1-Regular school,5-State agency providing elementary and/or secondary level instruction,39.615216,-82.951731,OH-060988-095646,High,1-Yes,1-Yes,1-Yes,1-Yes,108,108,20,29,29,30,108,0,18.00,6.00
RALPH J FROST ACADEMY,Illinois,ILLINOIS,Ralph J Frost Academy,1705034,Cook County,17031,http://www.maine207.org,1177 S Dee Rd,Park Ridge,60068,1177 S Dee Rd,8472926521,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,41.996542,-87.854753,IL-05-016-2070-17-050162070173002,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,4.00,0.00
RALPH J. BUNCHE CONTINUATION HIGH,California,CALIFORNIA,Ralph J. Bunche Continuation High,0612325,Alameda County,06001,http://www.ousd.org/bunche,1240 18th St.,Oakland,94607,1240 18th St.,5108792309,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,37.808109,-122.282439,CA-0161259-0118653,High,1-Yes,1-Yes,1-Yes,1-Yes,58,58,0,5,27,26,29,29,6.94,8.36
RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,New York,NEW YORK,RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,3602861,Richmond County,36085,http://www.mckeecths.org,101 BELMONT PL,STATEN ISLAND,10301,101 BELMONT PL,7184202600,3-Career and Technical School,2-Local school district that is a component of a supervisory union,40.642811,-74.079463,NY-353100010000-353100011600,High,1-Yes,1-Yes,1-Yes,1-Yes,626,620,154,188,152,126,489,137,67.09,9.33
RALPH R WILLIS CAREER/TECHNICAL CENTER,West Virginia,WEST VIRGINIA,Ralph R Willis Career/Technical Center,5401395,Logan County,54045,http://www.rrw.logancountyschoolswv.com/,144 Vocational Rd,Stollings,25646,PO Box 1747,3047524687,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,37.826947,-81.942760,WV-4500000-45701,High,1-Yes,1-Yes,1-Yes,1-Yes,†,†,†,†,†,†,†,†,15.00,–
RALPH RICHARDSON CENTER,California,CALIFORNIA,Ralph Richardson Center,0605821,Sacramento County,06067,http://www.sanjuan.edu/richardson,4848 Cottage Way,Carmichael,95608,4848 Cottage Way,9169717411,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,38.600641,-121.352907,CA-3467447-6034938,Other,1-Yes,1-Yes,1-Yes,1-Yes,54,36,1,4,4,27,40,14,6.02,8.97
RALSTON HIGH SCHOOL,Nebraska,NEBRASKA,RALSTON HIGH SCHOOL,3101542,Douglas County,31055,†,8969 PARK DR,RALSTON,68127,8969 PARK DR,4023317373,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.201030,-96.050745,NE-280054000-280054001,High,1-Yes,1-Yes,1-Yes,1-Yes,1024,1024,263,260,235,266,560,464,61.48,16.66
RALSTON VALLEY SENIOR HIGH SCHOOL,Colorado,COLORADO,Ralston Valley Senior High School,0801797,Jefferson County,08059,†,13355 WEST 80TH AVENUE,ARVADA,80005,13355 WEST 80TH AVENUE,3039825600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.843300,-105.150200,CO-1420-7239,High,1-Yes,1-Yes,1-Yes,1-Yes,1875,1875,482,497,449,447,921,954,87.97,21.31
RAM NATION VIRTUAL ACADEMY,OHIO,OHIO,RAM Nation Virtual Academy,3906151,Montgomery County,39113,http://www.trotwood.k12.oh.us,3594 N Snyder Rd,Trotwood,45426,3594 N Snyder Rd,9378543050,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.799674,-84.327768,OH-048694-019677,High,1-Yes,1-Yes,1-Yes,1-Yes,53,42,4,14,15,9,28,25,0.00,†
RAMAH HIGH,New Mexico,NEW MEXICO,RAMAH HIGH,3500662,McKinley County,35031,http://rah.gmcs.org/,74 S BLOOMFIELD AVE,RAMAH,87321,74 S BLOOMFIELD AVE,5057213800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.122155,-108.496862,NM-35043000-35043130,High,1-Yes,1-Yes,1-Yes,1-Yes,269,154,38,36,47,33,134,135,97.50,2.76
RAMAPO HIGH SCHOOL,New Jersey,NEW JERSEY,Ramapo High School,3400726,Bergen County,34003,http://ramapo.rih.org,331 GEORGE STREET,FRANKLIN LAKES,07417,331 GEORGE STREET,2018911500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.998500,-74.191900,NJ-034300-050,High,1-Yes,1-Yes,1-Yes,1-Yes,1166,1166,262,292,326,286,569,597,114.03,10.23
RAMAPO HIGH SCHOOL,New York,NEW YORK,RAMAPO HIGH SCHOOL,3603779,Rockland County,36087,http://www.ercsd.org,400 VIOLA RD,SPRING VALLEY,10977,400 VIOLA RD,8455776400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.135703,-74.062932,NY-500402060000-500402060018,High,1-Yes,1-Yes,1-Yes,1-Yes,1694,1694,482,469,362,381,896,798,127.00,13.34
RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,California,CALIFORNIA,Ramon C. Cortines School of Visual and Performing Arts,0612439,Los Angeles County,06037,http://www.cortinesgrandarts.org,450 North Grand Ave.,Los Angeles,90012,450 North Grand Ave.,2132178600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.059830,-118.244238,CA-1964733-0119727,High,1-Yes,1-Yes,1-Yes,1-Yes,1102,1102,229,280,310,283,349,753,63.34,17.40
RAMON JOSE DAVILA,Puerto Rico,PUERTO RICO,RAMON JOSE DAVILA,7200926,Coamo Municipio,72043,†,URB EL EDEN CALLE A,COAMO,00769,PO BOX 10,7878251247,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.073833,-66.365121,PR-01-50468,High,1-Yes,1-Yes,1-Yes,1-Yes,547,547,131,113,170,133,254,293,46.00,11.89
RAMON MARIN,Puerto Rico,PUERTO RICO,RAMON MARIN,7201046,Ponce Municipio,72113,†,AVE LAS AMERICAS,PONCE,00733,PO BOX 10788 SUITE 188,7878421371,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,18.007145,-66.601463,PR-01-52555,Other,1-Yes,1-Yes,1-Yes,1-Yes,170,43,8,13,15,7,118,52,38.00,4.47
RAMON POWER Y GIRALT LAS PIEDRAS,Puerto Rico,PUERTO RICO,RAMON POWER Y GIRALT LAS PIEDRAS,7200445,Las Piedras Municipio,72085,†,CALLE JESUS T PINERO 22,LAS PIEDRAS,00771,PO BOX 1276,7877332561,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.181794,-65.869455,PR-01-30973,High,1-Yes,1-Yes,1-Yes,1-Yes,718,718,163,200,192,163,359,359,50.00,14.36
RAMON POWER Y GIRALT SAN JUAN,Puerto Rico,PUERTO RICO,RAMON POWER Y GIRALT SAN JUAN,7201285,San Juan Municipio,72127,†,CALLE LOIZA FINAL ESQ CALLE ANASCO,SAN JUAN,00914,CALLE LOIZA STATION,7877274830,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.449600,-66.050900,PR-01-63123,High,1-Yes,1-Yes,1-Yes,1-Yes,102,102,19,26,30,27,59,43,16.00,6.38
RAMON QUINONES MEDINA,Puerto Rico,PUERTO RICO,RAMON QUINONES MEDINA,7200491,Yabucoa Municipio,72151,†,URB REPARTO HORIZONTE FRENTE AL CEMENTERIO,YABUCOA,00767,PO BOX 1990,7878932216,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.044933,-65.882614,PR-01-35782,High,1-Yes,1-Yes,1-Yes,1-Yes,264,257,44,57,80,76,115,149,25.00,10.56
RAMON VILA MAYO,Puerto Rico,PUERTO RICO,RAMON VILA MAYO,7201349,San Juan Municipio,72127,†,CALLE BRUMBAUGH #1014,SAN JUAN,00926,PO BOX 70158 MSC 218,7877729864,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.400800,-66.051000,PR-01-62950,High,1-Yes,1-Yes,1-Yes,1-Yes,213,130,40,24,30,36,97,116,17.00,12.53
RAMONA HIGH,California,CALIFORNIA,Ramona High,0605157,Riverside County,06065,http://ramona.riversideunified.org/,7675 Magnolia Ave.,Riverside,92504,7675 Magnolia Ave.,9513528429,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.940300,-117.414400,CA-3367215-3336492,High,1-Yes,1-Yes,1-Yes,1-Yes,2142,2142,550,515,536,541,1102,1038,93.74,22.85
RAMONA HIGH,California,CALIFORNIA,Ramona High,0604908,San Diego County,06073,http://www.ramonausd.net/rhs,1401 Hanson Ln.,Ramona,92065,1401 Hanson Ln.,7607874000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.026922,-116.869138,CA-3768304-3735974,High,1-Yes,1-Yes,1-Yes,1-Yes,1404,1404,373,384,319,328,745,659,64.47,21.78
RAMONA OPPORTUNITY HIGH,California,CALIFORNIA,Ramona Opportunity High,0603296,Los Angeles County,06037,http://ramonahs.lausd.org,231 South Alma Ave.,Los Angeles,90063,231 South Alma Ave.,3232667600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.033929,-118.190947,CA-1964733-1937085,High,1-Yes,1-Yes,1-Yes,1-Yes,13,13,4,4,2,3,0,13,1.99,6.53
RAMPART HIGH SCHOOL,Colorado,COLORADO,Rampart High School,0801321,El Paso County,08041,†,8250 LEXINGTON DRIVE,COLORADO SPRINGS,80920,8250 LEXINGTON DRIVE,7192342000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.949407,-104.772372,CO-1040-7240,High,1-Yes,1-Yes,1-Yes,1-Yes,1305,1305,339,296,333,337,626,679,77.66,16.80
RAMPART SCHOOL,ALASKA,ALASKA,Rampart School,0200757,Yukon-Koyukuk Census Area,02290,http://www.yksd.com,13 Wiehl Way,Rampart,99767,General Delivery,9073583320,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,65.503360,-150.171896,AK-52-520120,Other,1-Yes,1-Yes,1-Yes,1-Yes,10,2,0,0,0,2,5,5,2.00,5.00
RAMSAY HIGH SCHOOL,Alabama,ALABAMA,Ramsay High School,0100176,Jefferson County,01073,http://www.bhm.k12.al.us/ramsay,1800 13th Ave S,Birmingham,35205,1800 13th Ave S,2052317000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.497696,-86.798059,AL-114-0720,High,1-Yes,1-Yes,1-Yes,1-Yes,762,762,182,200,185,195,354,408,46.00,16.57
RAMSEY HIGH SCHOOL,New Jersey,NEW JERSEY,Ramsey High School,3400730,Bergen County,34003,http://www.ramsey.k12.nj.us/rhs,256 E  MAIN STREET,RAMSEY,07446,256 E  MAIN STREET,2017852300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.056600,-74.134700,NJ-034310-050,High,1-Yes,1-Yes,1-Yes,1-Yes,739,739,167,192,178,202,381,357,77.83,9.50
RAMSEY HIGH SCHOOL,Illinois,ILLINOIS,Ramsey High School,1703435,Fayette County,17051,http://www.ramsey.fayette.k12.il.us,702 W 6th St,Ramsey,62080,702 W 6th St,6184232333,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.140539,-89.113905,IL-03-026-2040-26-030262040260002,High,1-Yes,1-Yes,1-Yes,1-Yes,181,103,23,32,29,19,90,91,15.67,11.55
RAMSEY STREET HIGH,North Carolina,NORTH CAROLINA,Ramsey Street High,3702136,Cumberland County,37051,http://rshs.ccs.k12.nc.us/,117 Quincy St,Fayetteville,28301,117 Quincy St,9104375829,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,35.079029,-78.883418,NC-260-449,High,1-Yes,1-Yes,1-Yes,1-Yes,39,39,22,7,8,2,23,16,8.96,4.35
RANBURNE HIGH SCHOOL,Alabama,ALABAMA,Ranburne High School,0100321,Cleburne County,01029,http://www.ranburnehigh.net,21045 Main St,Ranburne,36273,21045 Main St,2565683402,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.523373,-85.346519,AL-015-0050,High,1-Yes,1-Yes,1-Yes,1-Yes,526,262,76,55,59,72,261,265,26.00,20.23
RANCH ACADEMY,Texas,TEXAS,RANCH ACADEMY,4808398,Van Zandt County,48467,http://www.raschools.com,3120 VZCR 2318,CANTON,75103,3120 VZCR 2318,9039398000,4-Alternative Education School,7-Independent Charter District,32.422990,-95.860939,TX-234801-234801001,High,1-Yes,1-Yes,1-Yes,1-Yes,64,58,13,21,14,10,30,34,3.79,16.89
RANCHO ALAMITOS HIGH,California,CALIFORNIA,Rancho Alamitos High,0601874,Orange County,06059,http://www.ranchoalamitoshs.com,11351 Dale St.,Garden Grove,92841,11351 Dale St.,7146636415,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.798872,-117.986237,CA-3066522-3035706,High,1-Yes,1-Yes,1-Yes,1-Yes,1439,1439,343,352,371,373,761,675,73.63,19.54
RANCHO BERNARDO HIGH,California,CALIFORNIA,Rancho Bernardo High,0610004,San Diego County,06073,http://www.powayusd.com/pusdrbhs,13010 Paseo Lucido,San Diego,92128,13010 Paseo Lucido,8584854800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.995400,-117.066200,CA-3768296-3730819,High,1-Yes,1-Yes,1-Yes,1-Yes,2210,2210,545,547,580,538,1131,1074,90.36,24.46
RANCHO BUENA VISTA HIGH,California,CALIFORNIA,Rancho Buena Vista High,0609203,San Diego County,06073,http://rbv.vistausd.org,1601 Longhorn Dr.,Vista,92081,1234 Arcadia Ave.,7607277284,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.163900,-117.247600,CA-3768452-3730728,High,1-Yes,1-Yes,1-Yes,1-Yes,1949,1949,515,503,436,495,1045,899,102.79,18.96
RANCHO CAMPANA HIGH,CALIFORNIA,CALIFORNIA,Rancho Campana High,0613876,Ventura County,06111,http://www.ranchocampanahigh.us,4235 Mar Vista Dr.,Camarillo,93010,4235 Mar Vista Dr.,8053852500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.244874,-119.013585,CA-5672546-0131698,High,1-Yes,1-Yes,1-Yes,1-Yes,826,826,217,210,207,192,398,427,35.26,23.43
RANCHO COTATE HIGH,California,CALIFORNIA,Rancho Cotate High,0601081,Sonoma County,06097,†,5450 Snyder Ln.,Rohnert Park,94928,5450 Snyder Ln.,7077924750,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.340502,-122.684241,CA-4973882-4935482,High,1-Yes,1-Yes,1-Yes,1-Yes,1755,1755,450,457,423,425,898,851,76.19,23.03
RANCHO CUCAMONGA HIGH,California,CALIFORNIA,Rancho Cucamonga High,0601122,San Bernardino County,06071,http://www.cjuhsd.net,11801 Lark Dr.,Rancho Cucamonga,91701,11801 Lark Dr.,9099891600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.131400,-117.546200,CA-3667652-3630571,High,1-Yes,1-Yes,1-Yes,1-Yes,3221,3221,782,850,820,769,1640,1575,128.27,25.11
RANCHO DOMINGUEZ PREPARATORY,California,CALIFORNIA,Rancho Dominguez Preparatory,0612898,Los Angeles County,06037,http://dominguezps.lausd.org,4110 Santa Fe Ave.,Long Beach,90810,4110 Santa Fe Ave.,3108476400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.833703,-118.215891,CA-1964733-0124529,High,1-Yes,1-Yes,1-Yes,1-Yes,701,505,165,94,134,112,387,314,40.38,17.36
RANCHO HS,Nevada,NEVADA,Rancho HS,3200089,Clark County,32003,†,1900 Searles Avenue,Las Vegas,89101,1900 Searles Avenue,7027997000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.185561,-115.122700,NV-02-02403,High,1-Yes,1-Yes,1-Yes,1-Yes,2715,2700,614,709,690,687,1364,1350,128.00,21.21
RANCHO LEARNING CENTER (ALTERNATIVE),California,CALIFORNIA,Rancho Learning Center (Alternative),0609302,Los Angeles County,06037,†,150 South Third Ave.,Arcadia,91006,150 South Third Ave.,6268216629,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.138381,-118.023282,CA-1964261-1995299,Other,1-Yes,1-Yes,1-Yes,1-Yes,64,31,2,10,7,12,24,40,3.09,20.71
RANCHO MIRAGE HIGH,California,CALIFORNIA,Rancho Mirage High,0613149,Riverside County,06065,http://www.ranchomiragehighschool.org,31001 Rattler Rd.,Rancho Mirage,92270,31001 Rattler Rd.,7602026455,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.821424,-116.433954,CA-3367173-0127316,High,1-Yes,1-Yes,1-Yes,1-Yes,1401,1401,401,359,328,313,774,625,68.59,20.43
RANCHO SAN JUAN HIGH,CALIFORNIA,CALIFORNIA,Rancho San Juan High,0614401,Monterey County,06053,http://www.salinasuhsd.org/domain/21,1100 Rogge Rd.,Salinas,93906,431 West Alisal St.,8312737700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.730012,-121.630189,CA-2766159-0136697,High,1-Yes,1-Yes,1-Yes,1-Yes,1600,1600,422,423,386,369,799,801,76.93,20.80
